"시점","항목","업태별",데이터
"2017. 01","불변지수","총지수",103.3
"2017. 01","불변지수","백화점",103.4
"2017. 01","불변지수","대형마트",113.4
"2017. 01","불변지수","면세점",150.7
"2017. 01","불변지수","슈퍼마켓 및 잡화점",106.8
"2017. 01","불변지수","체인 슈퍼마켓",113.0
"2017. 01","불변지수","일반 슈퍼마켓 및 잡화점",103.6
"2017. 01","불변지수","편의점",112.8
"2017. 01","불변지수","승용차 및 연료 소매점",93.4
"2017. 01","불변지수","승용차 소매점",85.8
"2017. 01","불변지수","연료 소매점",100.4
"2017. 01","불변지수","전문소매점",96.1
"2017. 01","불변지수","가전·컴퓨터·통신기기 소매점",90.4
"2017. 01","불변지수","의복·신발·가방 소매점",96.1
"2017. 01","불변지수","음식·가정· 문화상품 소매점",96.7
"2017. 01","불변지수","의약품·화장품·기타상품 소매점",99.3
"2017. 01","불변지수","무점포 소매",120.7
"2017. 01","불변지수","인터넷 쇼핑",130.4
"2017. 01","불변지수","홈쇼핑",114.7
"2017. 01","불변지수","방문 및 배달 소매점",98.0
"2017. 02","불변지수","총지수",95.2
"2017. 02","불변지수","백화점",88.9
"2017. 02","불변지수","대형마트",81.5
"2017. 02","불변지수","면세점",171.1
"2017. 02","불변지수","슈퍼마켓 및 잡화점",87.6
"2017. 02","불변지수","체인 슈퍼마켓",83.2
"2017. 02","불변지수","일반 슈퍼마켓 및 잡화점",89.9
"2017. 02","불변지수","편의점",107.3
"2017. 02","불변지수","승용차 및 연료 소매점",94.1
"2017. 02","불변지수","승용차 소매점",92.8
"2017. 02","불변지수","연료 소매점",95.4
"2017. 02","불변지수","전문소매점",89.3
"2017. 02","불변지수","가전·컴퓨터·통신기기 소매점",90.5
"2017. 02","불변지수","의복·신발·가방 소매점",87.4
"2017. 02","불변지수","음식·가정· 문화상품 소매점",82.9
"2017. 02","불변지수","의약품·화장품·기타상품 소매점",97.9
"2017. 02","불변지수","무점포 소매",116.5
"2017. 02","불변지수","인터넷 쇼핑",131.1
"2017. 02","불변지수","홈쇼핑",105.1
"2017. 02","불변지수","방문 및 배달 소매점",85.8
"2017. 03","불변지수","총지수",105.4
"2017. 03","불변지수","백화점",95.8
"2017. 03","불변지수","대형마트",93.4
