"","youtube_title","youtube_title_url"
"1","과학 다큐 비욘드",""
"2","과학 다큐 비욘드 - 생명 연장의 과학, 텔로미어_#002",""
"3","과학 다큐 비욘드 - 생명 연장의 과학, 텔로미어_#003",""
"4","과학 다큐 비욘드 - [소행성이 온다]_#001","https://www.youtube.com/watch?v=zIOjZUeYjCE"
"5","과학 다큐 비욘드: Season 2017",""
"6","과학 다큐 비욘드 - [유전자가위, 신의 도구인가]_#001",""
"7","과학 다큐 비욘드 - 유전자가위, 신의 도구인가_#001",""
"8","과학 다큐 비욘드 - 인공지능 1부- 지능 만들기_#001","https://www.youtube.com/watch?v=AfYsM48bQMM"
"9","과학 다큐 비욘드 - 미생물 인간_#001","https://www.youtube.com/watch?v=A9fzrXTggJ4"
"10","EBS 과학다큐 비욘드-유전자가위, 신의 도구인가(5월 11일 방송)","https://www.youtube.com/watch?v=vAAaYbPqt-8"
"11","과학 다큐 비욘드 - 가상, 현실의 미래_#001","https://www.youtube.com/watch?v=KTZzG89JiRI"
"12","과학 다큐 비욘드 - 불멸의 꿈, 냉동인간_#001","https://www.youtube.com/watch?v=UXPA-W746EY"
"13","과학 다큐 비욘드 - 진실을 밝히는 힘, 과학수사_#001","https://www.youtube.com/watch?v=WIFj61sadTI"
"14","과학 다큐 비욘드 - [미래식량, 새로운 먹거리의 탄생]_#001","https://www.youtube.com/watch?v=tbNMxSK5QE4"
"15","과학 다큐 비욘드 - 38억 년 생존의 기술, 자연이 답이다_#001","https://www.youtube.com/watch?v=O6YWnFxpZFY"
"16","과학 다큐 비욘드 - 유전자가위, 신의 도구인가_#001","https://www.youtube.com/watch?v=TGb_iy73DLw"
"17","그렇다면 왜 인간의 화석은 발견되지 않을까? 진화론과 창조론[북툰 과학다큐]","https://www.youtube.com/watch?v=cz_97BtzDTI"
"18","늙지않는 방법 근력운동보다 이것을 하라","https://www.youtube.com/watch?v=mkRSWbah0tQ"
"19","우리 모두가 바랬던 세계가 온다! 수백조의 가치를 가진 미친 신기술, 드디어 그 발걸음을 떼다.","https://www.youtube.com/watch?v=tJ0Ds77cYms"
"20","과학 다큐 비욘드 - 웨어러블 로봇, 강화 인간을 꿈꾸다_#001","https://www.youtube.com/watch?v=bk-r9dybt1I"
"21","과학 다큐 비욘드 - 21세기 노아의 방주, 해상도시_#001","https://www.youtube.com/watch?v=Q_UpGCbyUaQ"
"22","과학 다큐 비욘드 - 로봇, 사람의 몸속으로 들어가다 '닥터,로봇'_#001","https://www.youtube.com/watch?v=O2bqAJKgHPo"
"23","과학 다큐 비욘드 - 생명 연장의 과학, 텔로미어_#001","https://www.youtube.com/watch?v=4PJX_3bLfbE"
"24","과학 다큐 비욘드 - 교통혁명의 신호탄, 하늘 나는 자동차_#001","https://www.youtube.com/watch?v=4RTdvOVk7f0"
"25","과학 다큐 비욘드 - [생명 연장의 과학, 텔로미어]_#001","https://www.youtube.com/watch?v=IKbcPD6G5g4"
"26","과학 다큐 비욘드 - 살 빠지는 지방, 갈색지방의 반격_#002","https://www.youtube.com/watch?v=yjMUfVZNCi0"
"27","과학 다큐 비욘드 - 기후의 역습, 재난생존보고서_#001","https://www.youtube.com/watch?v=UYVaklAfNZg"
