"특성별(1)",특성별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020
"특성별(1)",특성별(2),규칙적인 운동 여부,규칙적인 운동 여부,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 여부,규칙적인 운동 여부,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 여부,규칙적인 운동 여부,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 여부,규칙적인 운동 여부,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도,규칙적인 운동 빈도
"특성별(1)",특성별(2),예,아니오,일주일에 1번,일주일에 2번,일주일에 3번,일주일에 4번,일주일에 5번,일주일에 6번,매일,예,아니오,일주일에 1번,일주일에 2번,일주일에 3번,일주일에 4번,일주일에 5번,일주일에 6번,매일,예,아니오,일주일에 1번,일주일에 2번,일주일에 3번,일주일에 4번,일주일에 5번,일주일에 6번,매일,예,아니오,일주일에 1번,일주일에 2번,일주일에 3번,일주일에 4번,일주일에 5번,일주일에 6번,매일
"전체",소계,36.9,63.1,7.2,15.5,30.1,9.3,19.8,4.3,13.8,28.4,71.6,7.7,20.4,36.8,12.1,15.8,2.2,5.1,32.1,67.9,5.9,17.6,36.1,12.7,13.8,5.2,8.6,34.9,65.1,4.2,15.7,35.1,12.8,19.3,3.6,9.3
"성별",남자,44.8,55.2,6.6,15.3,28.4,10.8,19.2,4.9,14.8,32.3,67.7,8.7,19.5,38.4,12.3,13.9,2.1,5.1,39.0,61.0,6.4,13.7,36.4,14.1,13.7,5.9,9.9,41.7,58.3,3.6,14.5,31.5,14.6,21.5,4.0,10.4
"성별",여자,28.2,71.8,8.2,15.9,33.1,6.6,20.8,3.2,12.2,23.9,76.1,6.2,21.6,34.3,11.7,18.7,2.4,5.1,24.4,75.6,5.0,24.6,35.7,10.4,14.1,4.0,6.3,27.3,72.7,5.2,17.7,41.4,9.8,15.7,2.8,7.4
"연령별",만15-18세,36.6,63.4,1.8,17.7,21.4,11.8,19.0,3.8,24.6,21.1,78.9,16.3,30.8,29.0,8.5,10.7,0.0,4.7,33.4,66.6,6.1,19.9,20.0,12.2,18.9,6.2,16.8,-,-,-,-,-,-,-,-,-
"연령별",만19-29세,40.2,59.8,8.1,14.4,29.2,8.3,21.0,5.1,14.0,26.8,73.2,5.3,22.0,38.8,12.9,12.0,3.2,5.9,34.1,65.9,3.6,15.7,37.0,14.9,14.2,6.1,8.4,-,-,-,-,-,-,-,-,-
"연령별",만30-39세,33.7,66.3,7.9,16.2,34.1,9.7,18.5,3.5,10.1,31.8,68.2,7.6,17.2,36.9,12.2,19.5,1.9,4.6,29.6,70.4,8.4,19.1,40.5,10.3,11.7,3.8,6.1,-,-,-,-,-,-,-,-,-
"연령별",만18-19세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.6,68.4,1.8,14.8,38.3,13.2,13.2,4.0,14.8
"연령별",만20-24세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.6,64.4,4.6,14.3,30.9,12.0,20.8,5.1,12.3
"연령별",만25-29세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.9,63.1,4.4,17.5,36.8,11.6,18.0,3.9,7.8
"연령별",만30-34세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.1,66.9,4.3,15.2,36.7,15.1,21.3,1.4,6.1
"지역별",서울,37.6,62.4,10.4,15.3,28.4,10.5,20.4,4.3,10.9,22.2,77.8,6.8,22.6,43.4,12.0,11.1,1.2,2.8,31.1,68.9,4.8,31.9,39.6,8.5,4.5,0.5,10.2,37.8,62.2,2.2,16.6,32.3,12.1,24.9,2.8,9.1
"지역별",인천·경기,33.6,66.4,7.4,18.9,28.5,8.6,18.7,3.8,14.1,26.4,73.6,2.4,20.2,41.9,20.3,11.8,0.0,3.4,33.9,66.1,6.2,16.1,39.1,16.2,11.6,6.7,4.2,35.6,64.4,5.2,16.7,38.8,14.1,15.6,2.1,7.6
"지역별",대전·충청·세종·강원,38.5,61.5,5.2,14.7,37.0,6.8,21.2,2.1,13.2,28.8,71.2,15.9,18.9,38.1,11.4,13.0,0.0,2.7,35.5,64.5,3.6,9.7,37.2,11.9,19.2,4.1,14.2,33.1,66.9,6.2,14.2,32.2,14.6,15.0,4.4,13.5
"지역별",광주·전라·제주,33.7,66.3,7.2,10.5,32.0,14.2,20.3,2.5,13.4,42.9,57.1,5.4,21.4,40.1,8.6,10.1,5.8,8.6,30.4,69.6,9.3,10.9,30.4,10.4,20.1,7.2,11.8,30.3,69.7,3.4,17.3,27.9,9.6,24.5,6.6,10.7
"지역별",부산·울산·경남,45.1,54.9,5.1,14.9,27.3,10.2,20.5,6.6,15.5,31.6,68.4,6.5,14.4,19.8,4.7,36.9,6.8,11.0,33.7,66.3,7.6,15.0,30.0,12.0,17.7,9.1,8.6,33.3,66.7,5.9,15.6,33.3,12.4,19.6,7.0,6.1
"지역별",대구·경북,34.7,65.3,6.2,13.1,32.3,5.9,17.8,6.7,18.0,26.9,73.1,20.5,28.3,31.0,5.6,13.1,0.0,1.4,22.0,78.0,3.4,17.3,30.8,15.0,22.8,1.4,9.3,36.2,63.8,0.8,10.7,42.9,10.9,19.7,2.0,13.0
"학력별",중·고등학생,36.0,64.0,1.9,17.4,19.7,11.8,18.9,4.2,26.1,21.5,78.5,16.3,30.8,29.0,8.5,10.7,0.0,4.7,34.6,65.4,6.2,20.0,21.3,10.2,17.8,6.4,18.1,-,-,-,-,-,-,-,-,-
"학력별",대학생·대학원생,47.8,52.2,8.4,14.0,27.9,8.2,21.4,6.8,13.3,26.0,74.0,6.8,18.2,36.8,18.9,11.1,2.0,6.2,37.5,62.5,4.9,14.0,37.8,14.3,17.7,3.9,7.3,39.8,60.2,2.9,13.2,31.3,13.4,22.5,4.4,12.4
