"시점","항목","업태별",데이터
"2019. 01","불변지수","총지수",109.8
"2019. 01","불변지수","백화점",98.7
"2019. 01","불변지수","대형마트",103.0
"2019. 01","불변지수","면세점",227.1
"2019. 01","불변지수","슈퍼마켓 및 잡화점",95.6
"2019. 01","불변지수","체인 슈퍼마켓",110.0
"2019. 01","불변지수","일반 슈퍼마켓 및 잡화점",88.0
"2019. 01","불변지수","편의점",136.0
"2019. 01","불변지수","승용차 및 연료 소매점",101.8
"2019. 01","불변지수","승용차 소매점",99.6
"2019. 01","불변지수","연료 소매점",103.8
"2019. 01","불변지수","전문소매점",93.5
"2019. 01","불변지수","가전·컴퓨터·통신기기 소매점",90.1
"2019. 01","불변지수","의복·신발·가방 소매점",94.3
"2019. 01","불변지수","음식·가정· 문화상품 소매점",85.3
"2019. 01","불변지수","의약품·화장품·기타상품 소매점",104.0
"2019. 01","불변지수","무점포 소매",166.5
"2019. 01","불변지수","인터넷 쇼핑",201.7
"2019. 01","불변지수","홈쇼핑",139.4
"2019. 01","불변지수","방문 및 배달 소매점",91.8
"2019. 02","불변지수","총지수",99.8
"2019. 02","불변지수","백화점",91.0
"2019. 02","불변지수","대형마트",88.5
"2019. 02","불변지수","면세점",230.4
"2019. 02","불변지수","슈퍼마켓 및 잡화점",88.8
"2019. 02","불변지수","체인 슈퍼마켓",102.7
"2019. 02","불변지수","일반 슈퍼마켓 및 잡화점",81.5
"2019. 02","불변지수","편의점",124.3
"2019. 02","불변지수","승용차 및 연료 소매점",93.4
"2019. 02","불변지수","승용차 소매점",88.5
"2019. 02","불변지수","연료 소매점",97.9
"2019. 02","불변지수","전문소매점",86.4
"2019. 02","불변지수","가전·컴퓨터·통신기기 소매점",82.6
"2019. 02","불변지수","의복·신발·가방 소매점",87.7
"2019. 02","불변지수","음식·가정· 문화상품 소매점",78.4
"2019. 02","불변지수","의약품·화장품·기타상품 소매점",96.3
"2019. 02","불변지수","무점포 소매",142.0
"2019. 02","불변지수","인터넷 쇼핑",175.8
"2019. 02","불변지수","홈쇼핑",113.3
"2019. 02","불변지수","방문 및 배달 소매점",73.4
"2019. 03","불변지수","총지수",116.0
"2019. 03","불변지수","백화점",107.3
"2019. 03","불변지수","대형마트",95.8
"2019. 03","불변지수","면세점",285.4
"2019. 03","불변지수","슈퍼마켓 및 잡화점",93.0
"2019. 03","불변지수","체인 슈퍼마켓",102.7
"2019. 03","불변지수","일반 슈퍼마켓 및 잡화점",88.0
"2019. 03","불변지수","편의점",144.7
"2019. 03","불변지수","승용차 및 연료 소매점",110.8
"2019. 03","불변지수","승용차 소매점",116.8
"2019. 03","불변지수","연료 소매점",105.3
"2019. 03","불변지수","전문소매점",100.8
"2019. 03","불변지수","가전·컴퓨터·통신기기 소매점",106.6
"2019. 03","불변지수","의복·신발·가방 소매점",106.8
"2019. 03","불변지수","음식·가정· 문화상품 소매점",85.2
"2019. 03","불변지수","의약품·화장품·기타상품 소매점",107.2
"2019. 03","불변지수","무점포 소매",168.9
"2019. 03","불변지수","인터넷 쇼핑",210.7
"2019. 03","불변지수","홈쇼핑",134.0
"2019. 03","불변지수","방문 및 배달 소매점",83.6
"2019. 04","불변지수","총지수",111.4
"2019. 04","불변지수","백화점",96.0
"2019. 04","불변지수","대형마트",83.4
"2019. 04","불변지수","면세점",262.7
"2019. 04","불변지수","슈퍼마켓 및 잡화점",91.3
"2019. 04","불변지수","체인 슈퍼마켓",101.7
"2019. 04","불변지수","일반 슈퍼마켓 및 잡화점",85.9
"2019. 04","불변지수","편의점",144.7
"2019. 04","불변지수","승용차 및 연료 소매점",111.1
"2019. 04","불변지수","승용차 소매점",118.9
"2019. 04","불변지수","연료 소매점",103.9
"2019. 04","불변지수","전문소매점",96.6
"2019. 04","불변지수","가전·컴퓨터·통신기기 소매점",95.3
"2019. 04","불변지수","의복·신발·가방 소매점",99.4
"2019. 04","불변지수","음식·가정· 문화상품 소매점",85.6
"2019. 04","불변지수","의약품·화장품·기타상품 소매점",106.3
"2019. 04","불변지수","무점포 소매",162.7
"2019. 04","불변지수","인터넷 쇼핑",200.1
"2019. 04","불변지수","홈쇼핑",130.1
"2019. 04","불변지수","방문 및 배달 소매점",88.3
"2019. 05","불변지수","총지수",116.6
"2019. 05","불변지수","백화점",106.6
"2019. 05","불변지수","대형마트",93.5
"2019. 05","불변지수","면세점",273.0
"2019. 05","불변지수","슈퍼마켓 및 잡화점",97.0
"2019. 05","불변지수","체인 슈퍼마켓",109.4
"2019. 05","불변지수","일반 슈퍼마켓 및 잡화점",90.6
"2019. 05","불변지수","편의점",158.6
"2019. 05","불변지수","승용차 및 연료 소매점",110.1
"2019. 05","불변지수","승용차 소매점",115.2
"2019. 05","불변지수","연료 소매점",105.5
"2019. 05","불변지수","전문소매점",100.7
"2019. 05","불변지수","가전·컴퓨터·통신기기 소매점",102.4
"2019. 05","불변지수","의복·신발·가방 소매점",109.5
"2019. 05","불변지수","음식·가정· 문화상품 소매점",82.2
"2019. 05","불변지수","의약품·화장품·기타상품 소매점",110.2
"2019. 05","불변지수","무점포 소매",171.4
"2019. 05","불변지수","인터넷 쇼핑",213.4
"2019. 05","불변지수","홈쇼핑",133.8
"2019. 05","불변지수","방문 및 배달 소매점",88.9
"2019. 06","불변지수","총지수",110.0
"2019. 06","불변지수","백화점",95.1
"2019. 06","불변지수","대형마트",91.3
"2019. 06","불변지수","면세점",257.4
"2019. 06","불변지수","슈퍼마켓 및 잡화점",97.2
"2019. 06","불변지수","체인 슈퍼마켓",108.7
"2019. 06","불변지수","일반 슈퍼마켓 및 잡화점",91.1
"2019. 06","불변지수","편의점",158.1
"2019. 06","불변지수","승용차 및 연료 소매점",105.3
"2019. 06","불변지수","승용차 소매점",109.7
"2019. 06","불변지수","연료 소매점",101.2
"2019. 06","불변지수","전문소매점",93.4
"2019. 06","불변지수","가전·컴퓨터·통신기기 소매점",97.5
"2019. 06","불변지수","의복·신발·가방 소매점",94.1
"2019. 06","불변지수","음식·가정· 문화상품 소매점",80.9
"2019. 06","불변지수","의약품·화장품·기타상품 소매점",103.5
"2019. 06","불변지수","무점포 소매",157.1
"2019. 06","불변지수","인터넷 쇼핑",195.8
"2019. 06","불변지수","홈쇼핑",123.4
"2019. 06","불변지수","방문 및 배달 소매점",80.2
"2019. 07","불변지수","총지수",110.5
"2019. 07","불변지수","백화점",89.7
"2019. 07","불변지수","대형마트",92.8
"2019. 07","불변지수","면세점",265.7
