"시점","항목",총지수,백화점,대형마트,면세점,슈퍼마켓 및 잡화점,체인 슈퍼마켓,일반 슈퍼마켓 및 잡화점,편의점,승용차 및 연료 소매점,승용차 소매점,연료 소매점,전문소매점,가전·컴퓨터·통신기기 소매점,의복·신발·가방 소매점,음식·가정· 문화상품 소매점,의약품·화장품·기타상품 소매점,무점포 소매,인터넷 쇼핑,홈쇼핑,방문 및 배달 소매점
"2017. 01","불변지수",103.3,103.4,113.4,150.7,106.8,113.0,103.6,112.8,93.4,85.8,100.4,96.1,90.4,96.1,96.7,99.3,120.7,130.4,114.7,98.0
"2017. 02","불변지수",95.2,88.9,81.5,171.1,87.6,83.2,89.9,107.3,94.1,92.8,95.4,89.3,90.5,87.4,82.9,97.9,116.5,131.1,105.1,85.8
"2017. 03","불변지수",105.4,95.8,93.4,138.9,96.5,98.7,95.3,121.8,109.2,116.4,102.7,98.8,98.7,97.5,93.0,106.8,127.9,144.0,115.4,94.1
"2017. 04","불변지수",103.9,97.5,92.1,133.1,96.8,98.9,95.7,127.5,101.5,103.7,99.4,100.8,105.7,108.8,88.7,101.5,123.2,138.3,108.8,94.8
"2017. 05","불변지수",107.6,99.6,99.6,137.8,102.7,107.9,100.0,137.2,104.1,106.4,102.0,102.4,113.7,104.5,89.3,106.7,128.7,143.2,119.0,96.1
"2017. 06","불변지수",104.2,85.8,95.8,143.5,102.6,106.4,100.6,137.4,108.6,117.3,100.6,94.4,108.2,87.5,85.8,102.0,124.2,138.6,111.2,96.0
"2017. 07","불변지수",104.9,88.0,108.9,146.3,104.6,108.6,102.6,142.9,101.5,100.0,102.9,95.3,120.6,84.8,85.2,100.5,126.7,146.2,109.5,88.3
"2017. 08","불변지수",101.3,82.5,100.9,175.1,104.1,109.2,101.4,143.8,101.0,96.9,104.8,87.9,102.0,75.0,81.7,99.5,121.7,138.3,109.0,86.6
"2017. 09","불변지수",109.5,100.8,108.6,183.6,104.7,112.6,100.5,144.1,106.2,109.0,103.7,98.0,101.6,91.3,96.1,105.4,134.2,150.9,118.3,102.6
"2017. 10","불변지수",108.0,107.7,103.5,168.4,101.5,107.1,98.6,143.1,98.6,90.9,105.7,103.1,104.5,113.1,93.2,101.6,126.0,140.8,121.6,85.1
"2017. 11","불변지수",115.0,117.2,93.3,181.4,98.2,102.1,96.1,134.4,112.8,116.9,109.1,107.1,121.0,123.7,85.9,101.7,152.9,178.9,135.9,93.6
"2017. 12","불변지수",112.9,116.7,102.4,176.9,99.1,103.0,97.1,132.5,109.7,108.5,110.9,104.2,107.8,115.2,89.4,105.6,143.4,168.2,127.0,87.0
"2018. 01","불변지수",105.3,93.0,92.7,195.5,97.0,98.3,96.3,126.9,102.5,103.5,101.5,93.7,105.9,95.1,80.5,97.9,144.3,162.9,135.2,97.7
"2018. 02","불변지수",101.7,95.2,103.8,169.6,99.8,109.7,94.6,118.6,95.0,92.8,97.1,91.9,98.9,90.2,85.1,96.2,128.9,147.8,117.9,84.3
"2018. 03","불변지수",113.3,102.4,96.4,222.0,97.7,100.6,96.1,140.0,113.7,125.2,103.1,102.3,113.9,105.4,89.3,104.9,147.4,173.5,128.5,90.2
"2018. 04","불변지수",109.9,96.3,90.3,215.2,96.9,99.6,95.5,140.5,110.2,121.0,100.4,99.4,105.5,102.1,86.2,106.5,143.1,167.1,125.4,91.0
"2018. 05","불변지수",112.8,101.8,95.8,213.0,102.7,107.3,100.3,149.9,110.1,118.2,102.7,101.5,113.7,106.0,82.8,108.3,147.6,172.1,131.6,91.7
"2018. 06","불변지수",108.7,89.3,97.7,203.8,103.7,108.9,100.9,154.0,108.3,117.5,99.9,95.2,109.0,92.4,79.8,105.8,139.3,163.0,123.8,85.3
"2018. 07","불변지수",110.8,91.1,104.2,201.2,105.9,113.4,101.9,157.9,109.4,114.2,104.9,95.2,118.5,87.8,79.2,104.8,147.6,178.9,119.9,85.9
"2018. 08","불변지수",107.0,84.8,97.4,222.3,104.6,113.1,100.2,156.0,107.0,108.1,106.1,91.3,120.2,76.8,78.4,101.6,136.8,162.2,117.8,82.1
"2018. 09","불변지수",110.0,105.1,110.6,224.7,107.5,122.3,99.7,149.3,96.1,91.1,100.7,98.2,95.3,102.3,93.7,100.5,140.5,166.3,118.0,89.2
"2018. 10","불변지수",113.6,109.2,86.9,215.5,94.8,99.7,92.2,148.8,112.1,115.7,108.9,101.6,98.6,119.4,84.5,102.4,158.2,189.2,140.1,84.8
"2018. 11","불변지수",116.2,112.5,87.3,217.7,95.7,100.9,92.9,141.9,114.4,120.4,108.9,104.4,111.3,122.6,84.2,101.3,167.1,208.2,135.3,79.8
"2018. 12","불변지수",116.4,118.0,98.8,211.4,98.2,108.2,93.0,137.8,114.9,118.8,111.4,102.5,96.9,114.6,89.6,106.8,163.1,203.1,136.2,72.7
"2019. 01","불변지수",109.8,98.7,103.0,227.1,95.6,110.0,88.0,136.0,101.8,99.6,103.8,93.5,90.1,94.3,85.3,104.0,166.5,201.7,139.4,91.8
"2019. 02","불변지수",99.8,91.0,88.5,230.4,88.8,102.7,81.5,124.3,93.4,88.5,97.9,86.4,82.6,87.7,78.4,96.3,142.0,175.8,113.3,73.4
"2019. 03","불변지수",116.0,107.3,95.8,285.4,93.0,102.7,88.0,144.7,110.8,116.8,105.3,100.8,106.6,106.8,85.2,107.2,168.9,210.7,134.0,83.6
"2019. 04","불변지수",111.4,96.0,83.4,262.7,91.3,101.7,85.9,144.7,111.1,118.9,103.9,96.6,95.3,99.4,85.6,106.3,162.7,200.1,130.1,88.3
