"특성별(1)",특성별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"특성별(1)",특성별(2),외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않은 기간,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기,외출을 하지 않게 된 계기
"특성별(1)",특성별(2),6개월 미만,6개월 이상-1년 미만,1년 이상-3년 미만,3년 이상-5년 미만,5년 이상-7년 미만,7년 이상,학업중단이나 대학진학 실패로,취업이 잘되지 않아서,인간관계가 잘되지 않아서,장애가 있거나 몸이 불편해서,임신이나 출산 때문에,기타,6개월 미만,6개월 이상-1년 미만,1년 이상-3년 미만,3년 이상-5년 미만,5년 이상-7년 미만,7년 이상,학업중단이나 대학진학 실패로,취업이 잘되지 않아서,인간관계가 잘되지 않아서,장애가 있거나 몸이 불편해서,임신이나 출산 때문에,기타,6개월 미만,6개월 이상-1년 미만,1년 이상-3년 미만,3년 이상-5년 미만,5년 이상-7년 미만,7년 이상,학업중단이나 대학진학 실패로,취업이 잘되지 않아서,인간관계가 잘되지 않아서,장애가 있거나 몸이 불편해서,임신이나 출산 때문에,기타,6개월 미만,6개월 이상-1년 미만,1년 이상-3년 미만,3년 이상-5년 미만,5년 이상-7년 미만,7년 이상,학업중단이나 대학진학 실패로,취업이 잘되지 않아서,인간관계가 잘되지 않아서,장애가 있거나 몸이 불편해서,임신이나 출산 때문에,기타
"전체",소계,18.4,17.9,36.5,16.6,6.0,4.7,3.8,17.9,10.1,4.6,61.3,2.2,23.5,23.8,9.1,25.5,11.3,6.9,5.8,33.0,17.7,4.3,37.2,1.9,28.3,12.1,25.1,19.2,8.0,7.3,3.1,22.2,2.3,1.8,54.4,16.3,41.1,24.2,18.7,11.9,1.7,2.4,5.1,37.4,6.8,4.9,28.6,17.2
"성별",남자,43.0,14.0,39.6,3.4,0.0,0.0,14.3,40.2,22.1,12.1,0.0,11.3,39.2,13.9,8.9,29.3,0.0,8.6,15.2,47.1,24.3,8.6,0.0,4.9,44.2,24.8,27.7,3.4,0.0,0.0,5.1,71.3,2.1,2.3,0.0,19.2,54.4,17.0,15.3,8.2,1.2,3.8,8.3,46.4,12.0,8.6,0.0,24.7
"성별",여자,12.4,18.9,35.8,19.7,7.4,5.8,1.3,12.5,7.2,2.8,76.1,0.0,13.6,29.9,9.1,23.2,18.4,5.8,0.0,24.3,13.6,1.7,60.4,0.0,22.6,7.5,24.2,25.0,10.8,9.9,2.4,4.5,2.4,1.6,74.0,15.2,31.2,29.6,21.1,14.6,2.0,1.5,2.7,30.7,3.0,2.1,49.7,11.7
"연령별",만15-18세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.6,0.0,74.5,16.9,0.0,0.0,33.1,0.0,8.6,12.4,0.0,46.0,-,-,-,-,-,-,-,-,-,-,-,-
"연령별",만19-29세,30.0,18.7,35.0,16.3,0.0,0.0,10.2,27.6,9.5,2.9,43.9,5.8,35.1,53.2,8.0,0.0,0.0,3.7,13.6,64.1,3.6,3.7,10.6,4.4,39.9,17.0,25.0,14.9,3.3,0.0,4.6,30.6,2.2,1.2,41.2,20.1,-,-,-,-,-,-,-,-,-,-,-,-
"연령별",만30-39세,11.3,17.5,37.4,16.7,9.6,7.5,0.0,12.0,10.5,5.7,71.8,0.0,14.7,1.6,9.8,44.7,19.8,9.3,0.0,9.6,28.3,4.8,57.2,0.0,16.8,7.4,22.6,24.1,13.5,15.5,0.0,14.2,2.1,1.8,71.4,10.5,-,-,-,-,-,-,-,-,-,-,-,-
"연령별",만18-19세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81.4,16.1,2.5,0.0,0.0,0.0,18.2,40.7,13.5,0.0,0.0,27.6
