dt,sido_cd,sido_nm,home_sido_cd,home_sido_nm,age_cd,sex_cd,cnt_aprx
20190805,36,세종특별자치시,NULL,NULL,NULL,NULL,71455
20190805,26,부산광역시,NULL,NULL,60,NULL,48673
20190805,29,광주광역시,NULL,NULL,30,NULL,36233
20190805,29,광주광역시,NULL,NULL,60,NULL,20192
20190805,43,충청북도,NULL,NULL,0,NULL,14733
20190805,44,충청남도,NULL,NULL,10,NULL,82124
20190805,11,서울특별시,NULL,NULL,NULL,1,349816
20190805,27,대구광역시,NULL,NULL,NULL,1,160154
20190805,41,경기도,NULL,NULL,NULL,2,344912
20190805,50,제주특별자치도,NULL,NULL,NULL,2,184326
20190805,26,부산광역시,31,울산광역시,NULL,NULL,10363
20190805,27,대구광역시,46,전라남도,NULL,NULL,5269
20190805,28,인천광역시,31,울산광역시,NULL,NULL,11017
20190805,30,대전광역시,48,경상남도,NULL,NULL,13610
20190805,42,강원도,30,대전광역시,NULL,NULL,33866
20190805,47,경상북도,47,경상북도,NULL,NULL,5
20190805,31,울산광역시,NULL,NULL,40,NULL,34067
20190805,43,충청북도,NULL,NULL,10,NULL,48700
20190805,45,전라북도,NULL,NULL,10,NULL,57227
20190805,45,전라북도,NULL,NULL,20,NULL,57021
20190805,46,전라남도,NULL,NULL,40,NULL,156753
20190805,47,경상북도,NULL,NULL,0,NULL,26968
20190805,28,인천광역시,NULL,NULL,NULL,1,420921
20190805,31,울산광역시,NULL,NULL,NULL,1,91372
20190805,45,전라북도,NULL,NULL,NULL,2,289138
20190805,29,광주광역시,NULL,NULL,NULL,NULL,204071
20190805,30,대전광역시,44,충청남도,NULL,NULL,20410
20190805,31,울산광역시,48,경상남도,NULL,NULL,33228
20190805,36,세종특별자치시,47,경상북도,NULL,NULL,2843
20190805,41,경기도,50,제주특별자치도,NULL,NULL,9086
20190805,30,대전광역시,27,대구광역시,NULL,NULL,10784
20190805,44,충청남도,41,경기도,NULL,NULL,267048
20190805,47,경상북도,31,울산광역시,NULL,NULL,30929
20190805,NULL,NULL,NULL,NULL,NULL,NULL,10541155
20190805,43,충청북도,NULL,NULL,NULL,NULL,640673
20190805,27,대구광역시,43,충청북도,NULL,NULL,7773
20190805,30,대전광역시,42,강원도,NULL,NULL,6266
20190805,41,경기도,45,전라북도,NULL,NULL,46679
20190805,43,충청북도,47,경상북도,NULL,NULL,32618
20190805,46,전라남도,26,부산광역시,NULL,NULL,44685
20190805,48,경상남도,50,제주특별자치도,NULL,NULL,3383
20190805,50,제주특별자치도,30,대전광역시,NULL,NULL,8804
20190805,31,울산광역시,NULL,NULL,NULL,2,71070
20190805,36,세종특별자치시,NULL,NULL,NULL,1,43627
20190805,28,인천광역시,NULL,NULL,NULL,2,397524
20190805,45,전라북도,NULL,NULL,NULL,1,339732
20190805,48,경상남도,NULL,NULL,NULL,1,402432
20190805,48,경상남도,NULL,NULL,NULL,NULL,750115
20190805,28,인천광역시,NULL,NULL,NULL,NULL,818445
